,browserFamily,deviceCategory,geoCountryName,isMobile,label,lastActionMapId,lastActionType,numberOfEvents,vid,visitRefDomain,TIMESTAMP
25,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,18,5a665acf00252a222127405b,,1530640830
26,Mobile Safari UI/WKWebView,Mobile,United Kingdom,True,True,NO-ACTION,NO-ACTION,13,5a80a0d500252a223ce31b8b,,1530640830
27,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,34,5adca44a00252a2223cd4d35,,1530640830
28,Mobile Safari UI/WKWebView,Mobile,United States,True,True,NO-ACTION,NO-ACTION,35,5adcfa1c00252a225714e1c2,,1530640830
29,Mobile Safari,Tablet,Ireland,False,False,ciqwehb936dwp01qirwyhd0i3,im,6,5a56730100252a226484824d,google.ie,1530640830
30,Mobile Safari UI/WKWebView,Tablet,Ireland,False,False,ciqwehb936dwp01qirwyhd0i3,im,8,5a9adaf700252a222d3251f8,,1530640830
31,Firefox,Desktop,Ireland,False,False,cj5jtrt1okxt307pq291vszzx,im,46,5a61e7ae00252a223b9cf34f,google.ie,1530640830
32,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,15,5a9b1e9100252a227f068d85,,1530640830
33,Chrome,Desktop,Ireland,False,False,cj5sd7warvddy07oc8uiw6zlt,im,41,5a90183400252a2226d15402,,1530640830
34,Chrome Mobile,Mobile,Ireland,True,False,ciqwehb936dwp01qirwyhd0i3,im,5,5aa104a500252a227e2fa8da,google.ie,1530640830
35,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,12,5a5fae4b00252a227206fc11,,1530640830
36,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,25,5a500bce00252a2217c384c7,,1530640830
37,Chrome,Desktop,Ireland,False,False,ciqwehb936dwp01qirwyhd0i3,im,6,5a56470100252a226bb84638,google.ie,1530640830
38,Chrome Mobile,Mobile,Ireland,True,False,ciqwehb936dwp01qirwyhd0i3,im,10,5aa91d8600252a223641bfd9,google.com,1530640830
39,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,28,5adf43d500252a2223f119d7,,1530640830
40,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,23,5a9eaf9c00252a2231d8f38d,,1530640830
41,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,21,5a9b1e0500252a225b294ee7,,1530640830
42,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,20,5a68ae8000252a225bb1c95d,,1530640830
43,Chrome Mobile,Mobile,United Arab Emirates,True,True,NO-ACTION,NO-ACTION,40,5ad3adbb00252a2213ba1a8f,,1530640830
44,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,14,5a8184c100252a2276f11a79,,1530640830
45,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,13,5a56194300252a2270ea0c23,,1530640830
46,Mobile Safari,Mobile,Ireland,True,False,cj5sd7warvddy07oc8uiw6zlt,im,19,5aabbec800252a223d5852a6,,1530640830
47,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,60,5ad4a29700252a2240160453,,1530640830
48,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,13,5a8b5a7a00252a22716a1a7a,,1530640830
49,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,19,5a97e20b00252a223f7069fc,,1530640830
50,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,20,5a5f6b2a00252a223687079e,,1530640830
51,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,47,5ae0808c00252a226fd180f1,,1530640830
52,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,46,5a5e261200252a220e1133fa,,1530640830
53,Chrome,Desktop,Ireland,False,False,cj5jtrt1okxt307pq291vszzx,im,35,5a8d67b200252a2240183139,google.ie,1530640830
54,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,18,5a7ad3b600252a2255021728,,1530640830
55,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,34,5ad4d3e500252a22750a4e44,,1530640830
56,Chrome Mobile,Mobile,Ireland,True,False,cj5sd7warvddy07oc8uiw6zlt,im,23,5a7478c800252a22751d2c00,google.ie,1530640830
57,Chrome Mobile,Mobile,Ireland,True,False,cj9zwqowd27fv06nv0x9x2kkx,im,16,5a707fe400252a227eab20da,google.ie,1530640830
58,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,17,5a96eb3100252a2264607904,,1530640830
59,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,25,5a7a24d700252a22190f8534,,1530640830
60,Chrome Mobile,Mobile,Ireland,True,False,ciqwehb936dwp01qirwyhd0i3,im,4,5a6f255600252a2254638529,android.googlequicksearchbox,1530640830
61,Chrome,Desktop,United Kingdom,False,False,cj5sd7warvddy07oc8uiw6zlt,im,14,5a732ad800252a226010140f,365online.com,1530640830
62,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,13,5a77224800252a2252b60f42,,1530640830
63,Samsung Internet,Mobile,Ireland,True,False,cj9zwqowd27fv06nv0x9x2kkx,im,10,5ac3434600252a223d0477c2,googlesyndication.com,1530640830
64,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,13,5a78a04d00252a22715c945c,,1530640830
65,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,14,5a95a4ac00252a2276286e95,,1530640830
66,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,47,5ae708b900252a22306a6f56,,1530640830
67,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,14,5a699fc800252a223da40956,,1530640830
68,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,39,5a73871900252a227e42acb6,,1530640830
69,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,15,5a4e73cf00252a221d62db4a,,1530640830
70,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,18,5aa1b5a800252a226ced5e4c,,1530640830
71,Chrome,Desktop,Europe,False,False,cj5sd7warvddy07oc8uiw6zlt,im,40,5a6f159600252a223dba4192,,1530640830
72,Chrome,Desktop,Ireland,False,False,ciqwehb936dwp01qirwyhd0i3,im,9,5a79bb3e00252a22277c0578,google.ie,1530640830
73,IE,Desktop,United Kingdom,False,False,ciqwehb936dwp01qirwyhd0i3,im,7,5a67129e00252a2278d43ac9,google.ie,1530640830
74,Mobile Safari,Mobile,Ireland,True,False,cj5sd7warvddy07oc8uiw6zlt,im,12,5a7c75d800252a222c2aff85,google.ie,1530640830
75,Safari,Desktop,Sweden,False,False,cj5sd7warvddy07oc8uiw6zlt,im,21,5a7828cd00252a222b06d4e1,365online.com,1530640830
76,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,18,5a9f6e9400252a227bc580be,,1530640830
77,IE,Desktop,Ireland,False,False,cj5jtrt1okxt307pq291vszzx,im,27,5ab235f200252a2226806a0b,google.ie,1530640830
78,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,21,5aa0855500252a223e2429af,,1530640830
79,Facebook,Mobile,Ireland,True,False,cj9zwqowd27fv06nv0x9x2kkx,im,15,5acccc4500252a2205478944,facebook.com,1530640830
80,Mobile Safari,Tablet,United Kingdom,False,False,ciqwehb936dwp01qirwyhd0i3,im,22,5ac5551f00252a226f6f2906,google.co.uk,1530640830
81,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,28,5a62447c00252a220f035abb,,1530640830
82,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,29,5adf17be00252a223b890bb3,,1530640830
83,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,37,5a884a7c00252a2201747021,,1530640830
84,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,15,5a79b9d200252a22543ca364,,1530640830
85,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,20,5a5c89d900252a22253eb3e4,,1530640830
86,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,24,5a97e42700252a2246b210b0,,1530640830
87,Chrome,Desktop,Ireland,False,False,cj5sd7warvddy07oc8uiw6zlt,im,28,5a7c9cb900252a220d83fd17,bonkers.ie,1530640830
88,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,25,5a53a5ae00252a2252f2af71,,1530640830
89,Mobile Safari,Mobile,United Kingdom,True,False,cj9zwqowd27fv06nv0x9x2kkx,im,24,5a9ebc3100252a221024a261,google.co.uk,1530640830
90,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,29,5ae2444d00252a222d349c9c,,1530640830
91,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,64,5adf56a200252a22600a00fb,,1530640830
92,Chrome Mobile,Mobile,United Kingdom,True,True,NO-ACTION,NO-ACTION,34,5a8086c500252a22293ead7c,,1530640830
93,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,32,5a5107cd00252a22728bb0d8,,1530640830
94,Chrome Mobile,Mobile,United Kingdom,True,True,NO-ACTION,NO-ACTION,25,5a666ea900252a22009a6825,,1530640830
95,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,23,5a53425800252a222832b667,,1530640830
96,Chrome,Desktop,Ireland,False,False,cj5jtrt1okxt307pq291vszzx,im,22,5a71c44100252a2201785ad6,google.ie,1530640830
97,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,21,5a74a92700252a222a107c41,,1530640830
98,Firefox,Desktop,Ireland,False,False,cj5jtrt1okxt307pq291vszzx,im,13,5ab512e500252a2274674c6e,bing.com,1530640830
99,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,12,5a4bb89f00252a22045a074e,,1530640830
100,Chrome Mobile,Mobile,United Kingdom,True,False,cj9zwqowd27fv06nv0x9x2kkx,im,9,5accc2de00252a226f4c0ade,google.co.uk,1530640830
101,Chrome Mobile,Mobile,Ireland,True,False,cj5sd7warvddy07oc8uiw6zlt,im,28,5a69cb9f00252a227ca0c3a5,mastercard.ie,1530640830
102,Safari,Desktop,Ireland,False,False,cj5jtrt1okxt307pq291vszzx,im,39,5a4cf8d200252a22047de59e,,1530640830
103,Mobile Safari,Mobile,Ireland,True,False,ciqwehb936dwp01qirwyhd0i3,im,4,5a84213900252a2254fb191e,google.ie,1530640830
104,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,20,5aa4420100252a223958443e,,1530640830
105,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,20,5a9ea9a300252a220db74a1b,,1530640830
106,Chrome,Desktop,Ireland,False,False,cjawivamo545707qylvkasw8v,im,39,5a95525d00252a2228dd52fc,google.ie,1530640830
107,Chrome Mobile,Mobile,Ireland,True,False,cj9zwqowd27fv06nv0x9x2kkx,im,34,5aba33a600252a227c6fc74d,google.ie,1530640830
108,Mobile Safari,Mobile,Ireland,True,False,cj9zwqowd27fv06nv0x9x2kkx,im,38,5a8b241f00252a22578aaff6,google.ie,1530640830
109,Chrome Mobile,Mobile,Ireland,True,False,ciqwehb936dwp01qirwyhd0i3,im,10,5a7193d100252a220f9a3ee9,,1530640830
110,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,24,5a7c79ca00252a2245b01b31,,1530640830
111,IE,Desktop,United States,False,False,ciqwehb936dwp01qirwyhd0i3,im,8,5ab42e7400252a2274b633dd,bing.com,1530640830
112,Edge,Desktop,Ireland,False,False,cj5jtrt1okxt307pq291vszzx,im,39,5a8f09b300252a22593890e6,google.ie,1530640830
113,Mobile Safari,Mobile,Ireland,True,False,ciqwehb936dwp01qirwyhd0i3,im,15,5a71d8fe00252a224ffc7c15,google.ie,1530640830
114,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,27,5ade306d00252a2246a04d83,,1530640830
115,Chrome,Desktop,Ireland,False,False,cj5jtrt1okxt307pq291vszzx,im,10,5a9e74b200252a2216d5d1f3,,1530640830
116,Chrome,Desktop,United Kingdom,False,False,cj5sd7warvddy07oc8uiw6zlt,im,27,5a9534c000252a225b72958b,google.co.uk,1530640830
117,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,28,5a5caca600252a226da06438,,1530640830
118,Mobile Safari,Mobile,Ireland,True,False,cj9zwqowd27fv06nv0x9x2kkx,im,29,5ac772f800252a2257e80ddf,google.ie,1530640830
119,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,19,5a9af81a00252a2207707079,,1530640830
120,Chrome Mobile,Mobile,Ireland,True,False,cj9zwqowd27fv06nv0x9x2kkx,im,33,5a814a3800252a2267bd1da6,google.ie,1530640830
121,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,17,5a5f715700252a225c872b93,,1530640830
122,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,14,5a53e21400252a226da1f6e3,,1530640830
123,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,48,5adcd77e00252a22486d2195,,1530640830
124,Samsung Internet,Mobile,Ireland,True,False,cj5sd7warvddy07oc8uiw6zlt,im,58,5a9fe96900252a22234c930f,google.ie,1530640830
125,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,57,5adf37e300252a2216894a5c,,1530640830
126,Chrome,Desktop,Ireland,False,False,ciqwehb936dwp01qirwyhd0i3,im,5,5a60e88300252a226dc17c93,,1530640830
127,Chrome,Desktop,Ireland,False,True,NO-ACTION,NO-ACTION,2,5a661dbb00252a2217ac7255,,1530640830
128,Chrome Mobile,Mobile,Ireland,True,False,ciqwehb936dwp01qirwyhd0i3,im,12,5ae1b30100252a2263500a71,,1530640830
129,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,42,5adcd1ef00252a2273ab3049,,1530640830
130,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,27,5acf3c0300252a22048f85aa,,1530640830
131,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,13,5a7e19da00252a220ff58586,,1530640830
132,IE,Desktop,Ireland,False,False,cjawivamo545707qylvkasw8v,im,35,5a81729000252a223f4e7b0c,google.ie,1530640830
133,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,14,5a4f9b4c00252a2223c4decd,,1530640830
134,Chrome Mobile,Mobile,Ireland,True,False,ciqwehb936dwp01qirwyhd0i3,im,5,5a6f6b6b00252a223d09c3c9,365online.com,1530640830
135,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,20,5a5b933000252a220a1bdf6f,,1530640830
136,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,25,5accda6c00252a2205b694c2,,1530640830
137,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,19,5a95677b00252a223a256338,,1530640830
138,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,47,5ae5848100252a227f459e3b,,1530640830
139,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,47,5ad1bc3500252a226dc3ac89,,1530640830
140,IE,Desktop,Ireland,False,False,ciqwehb936dwp01qirwyhd0i3,im,7,5a61146200252a2209e3beb3,,1530640830
141,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,36,5a5cf65600252a22467cd3d1,,1530640830
142,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,16,5aa53afe00252a223c90c9e9,,1530640830
143,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,22,5a7488ff00252a220c923152,,1530640830
144,Mobile Safari,Mobile,Ireland,True,False,cjawivamo545707qylvkasw8v,im,46,5aa151f200252a2242a407a1,,1530640830
145,Chrome Mobile,Mobile,Ireland,True,False,ciqwehb936dwp01qirwyhd0i3,im,6,5ae3091800252a225025be3a,google.com,1530640830
146,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,13,5a883d2700252a223e01af1a,,1530640830
147,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,25,5a958faf00252a225038a4da,,1530640830
148,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,13,5a68e84d00252a222820eab4,,1530640830
149,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,17,5a959cc000252a223dffd53b,,1530640830
150,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,36,5adc72e200252a2246e80acb,,1530640830
151,Mobile Safari,Mobile,Ireland,True,False,cj5sd7warvddy07oc8uiw6zlt,im,41,5ab3dd6800252a223c9109bc,,1530640830
152,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,37,5ae6ce8900252a226cfd739f,,1530640830
153,Mobile Safari,Mobile,Ireland,True,False,cj5sd7warvddy07oc8uiw6zlt,im,31,5a60ba3200252a2277bbc519,google.ie,1530640830
154,Chrome,Desktop,Ireland,False,False,cj5sd7warvddy07oc8uiw6zlt,im,37,5aa9207700252a224911f72f,google.ie,1530640830
155,Chrome,Desktop,Ireland,False,False,cj5jtrt1okxt307pq291vszzx,im,21,5a8b219d00252a2205f8dcd8,google.ie,1530640830
156,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,40,5ad7578b00252a221685e3fe,,1530640830
157,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,13,5a90997300252a220cbba501,,1530640830
158,Chrome,Desktop,Ireland,False,False,cj5sd7warvddy07oc8uiw6zlt,im,37,5ab5578d00252a2251f535a2,,1530640830
159,Samsung Internet,Mobile,Ireland,True,False,cj9zwqowd27fv06nv0x9x2kkx,im,12,5a81c4ec00252a223f63988f,google.ie,1530640830
160,Mobile Safari,Mobile,Ireland,True,False,ciqwehb936dwp01qirwyhd0i3,im,5,5a7b122900252a226f615f2c,google.ie,1530640830
161,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,13,5a81a27500252a22267d1bd1,,1530640830
162,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,32,5a861b7300252a224b656b9d,,1530640830
163,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,27,5a66500e00252a221f0a22f1,,1530640830
164,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,16,5a6f364a00252a220a0f7f5e,,1530640830
165,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,16,5a6499fd00252a221cdb41af,,1530640830
166,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,37,5ae6f73800252a221f3fcc4f,,1530640830
167,Chrome Mobile,Mobile,Ireland,True,False,cj5sd7warvddy07oc8uiw6zlt,im,22,5ab8db3700252a227da78276,,1530640830
168,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,13,5a4e766f00252a220243aa10,,1530640830
169,Mobile Safari,Mobile,Ireland,True,False,ciqwehb936dwp01qirwyhd0i3,im,8,5a64587f00252a223822550e,google.ie,1530640830
170,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,17,5a8aab7600252a2260284e6d,,1530640830
171,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,12,5a5ccfa400252a226a965e1b,,1530640830
172,Chrome Mobile,Mobile,Ireland,True,False,ciqwehb936dwp01qirwyhd0i3,im,8,5a7e462800252a221e2cc15a,google.ie,1530640830
173,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,26,5a9ae2f800252a225c8c2177,,1530640830
174,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,21,5a7883b100252a220274eda2,,1530640830
175,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,14,5a7aab7100252a2269037e85,,1530640830
176,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,17,5a81f82600252a2200a6e928,,1530640830
177,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,17,5a95386300252a227e34b9c3,,1530640830
178,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,34,5a942c0d00252a2231f5435d,,1530640830
179,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,41,5ad389db00252a2221a90615,,1530640830
180,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,37,5ae1c8d300252a2220e00491,,1530640830
181,Chrome Mobile,Mobile,United Kingdom,True,False,cj9zwqowd27fv06nv0x9x2kkx,im,15,5a71b6e800252a2249b5f621,google.co.uk,1530640830
182,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,16,5a89744400252a22555d6071,,1530640830
183,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,29,5aa4249100252a2264853743,,1530640830
184,Facebook,Mobile,Ireland,True,False,cj5sd7warvddy07oc8uiw6zlt,im,16,5a798f3300252a22525622a4,facebook.com,1530640830
185,Chrome Mobile iOS,Mobile,Ireland,True,False,cj5sd7warvddy07oc8uiw6zlt,im,22,5a53beaf00252a224cf53a1a,,1530640830
186,Chrome,Desktop,Ireland,False,False,cj5jtrt1okxt307pq291vszzx,im,30,5acca63f00252a2231190901,google.ie,1530640830
187,Mobile Safari,Mobile,Ireland,True,False,cj5sd7warvddy07oc8uiw6zlt,im,46,5a9536fb00252a226cd3ff91,,1530640830
188,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,15,5aa04d3e00252a221caa561c,,1530640830
189,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,14,5a4f3e8100252a221689711d,,1530640830
190,Mobile Safari,Mobile,Ireland,True,False,cj5sd7warvddy07oc8uiw6zlt,im,31,5a859b6600252a2220aa2ed0,google.co.uk,1530640830
191,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,17,5aa6812000252a2224baea3b,,1530640830
192,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,34,5ad8bea500252a220d7ae1b5,,1530640830
193,Chrome,Desktop,Ireland,False,False,cj5sd7warvddy07oc8uiw6zlt,im,16,5ab3e42100252a220273d393,,1530640830
194,Chrome Mobile,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,13,5a61623e00252a220e1634c5,,1530640830
195,Mobile Safari UI/WKWebView,Mobile,Ireland,True,True,NO-ACTION,NO-ACTION,35,5a5f823300252a223b5984a4,,1530640830
196,Facebook,Mobile,Ireland,True,False,cj5sd7warvddy07oc8uiw6zlt,im,19,5aa7907100252a22020fd0cf,facebook.com,1530640830
197,Edge,Desktop,Ireland,False,False,cj5jtrt1okxt307pq291vszzx,im,34,5a705cee00252a221cf8ca39,msn.com,1530640830
